City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Kapiri Mposhi,ZM,2021-05-26 22:58:38,-13.9652,28.6809,282.28,76,0,2.33
178,Teguise,ES,2021-05-26 22:58:39,29.0605,-13.564,290.27,63,20,6.93
179,Pevek,RU,2021-05-26 22:58:40,69.7008,170.3133,273.37,85,1,1.1
180,Ankeny,US,2021-05-26 22:58:42,41.7297,-93.6058,300.18,39,1,2.57
181,Enshi,CN,2021-05-26 22:58:11,30.3,109.4833,290.37,93,99,0.16
182,Yurimaguas,PE,2021-05-26 22:58:44,-5.9,-76.0833,299.74,73,82,1.0
183,Hasaki,JP,2021-05-26 22:58:45,35.7333,140.8333,291.37,82,100,8.05
184,Emba,KZ,2021-05-26 22:56:05,48.8264,58.1442,298.06,35,36,6.23
185,Antofagasta,CL,2021-05-26 22:58:48,-23.65,-70.4,288.75,73,100,2.62
186,Guerrero Negro,MX,2021-05-26 22:58:50,27.9769,-114.0611,295.48,49,59,7.82
187,Cherskiy,RU,2021-05-26 22:58:52,68.75,161.3,287.45,35,46,3.06
188,Radom,PL,2021-05-26 22:58:55,51.4025,21.1471,286.34,42,71,0.45
189,Sehithwa,BW,2021-05-26 22:58:56,-20.4667,22.7167,285.98,44,0,2.31
190,Sunnyside,US,2021-05-26 22:55:38,46.3237,-120.0087,299.64,18,1,2.57
191,Buala,SB,2021-05-26 22:58:58,-8.145,159.5921,301.28,75,91,6.7
192,Bouca,CF,2021-05-26 22:59:00,6.5105,18.2733,295.11,95,83,1.53
193,Taoudenni,ML,2021-05-26 22:59:01,22.6783,-3.9836,310.33,16,100,5.79
194,Heze,CN,2021-05-26 22:59:02,35.2431,115.4411,295.04,43,0,2.73
195,Mangrol,IN,2021-05-26 22:59:03,21.1167,70.1167,301.55,79,98,6.9
196,Kasongo-Lunda,CD,2021-05-26 22:59:05,-6.4667,16.8167,293.14,56,54,0.7
197,Kahului,US,2021-05-26 22:54:11,20.8947,-156.47,301.95,69,26,6.71
198,Kemi,FI,2021-05-26 22:59:08,65.8596,24.8228,278.02,75,0,3.86
199,Mkushi,ZM,2021-05-26 22:59:12,-13.6202,29.3939,283.2,78,0,2.43
200,Turukhansk,RU,2021-05-26 22:59:14,65.8167,87.9833,271.94,73,90,3.03
201,San Policarpo,PH,2021-05-26 22:59:15,12.1791,125.5072,301.0,81,47,3.33
202,Nouadhibou,MR,2021-05-26 22:59:17,20.931,-17.0347,292.14,77,0,9.26
203,Poum,NC,2021-05-26 22:59:20,-20.2333,164.0167,295.65,59,59,5.9
204,Yulara,AU,2021-05-26 22:59:19,-25.2406,130.9889,280.06,76,2,3.6
205,Kloulklubed,PW,2021-05-26 22:59:22,7.0419,134.2556,301.38,75,87,4.59
206,Tanete,ID,2021-05-26 22:59:23,-3.9443,119.7848,298.65,88,93,3.04
207,Peace River,CA,2021-05-26 22:59:24,56.2501,-117.286,290.32,41,90,3.18
208,Zhanakorgan,KZ,2021-05-26 22:59:23,43.9098,67.2495,296.08,48,81,4.25
209,Montevideo,UY,2021-05-26 22:55:35,-34.8335,-56.1674,287.49,66,0,6.42
210,Beloha,MG,2021-05-26 22:59:31,-25.1667,45.05,290.48,96,1,2.23
211,Iguape,BR,2021-05-26 22:59:32,-24.7081,-47.5553,290.88,82,78,1.19
212,Uyuni,BO,2021-05-26 22:59:34,-20.4597,-66.825,280.39,53,55,2.72
213,Elizabeth City,US,2021-05-26 22:55:57,36.2946,-76.2511,306.26,65,18,5.25
214,Ruthin,GB,2021-05-26 22:59:37,53.1137,-3.3178,282.91,94,10,1.72
215,Luderitz,NA,2021-05-26 22:59:38,-26.6481,15.1594,290.81,64,62,1.51
216,Bethel,US,2021-05-26 22:59:40,41.3712,-73.414,300.94,74,76,0.45
217,Marsh Harbour,BS,2021-05-26 22:59:41,26.5412,-77.0636,298.08,72,22,3.74
218,Lompoc,US,2021-05-26 22:59:42,34.6391,-120.4579,299.02,73,3,9.39
219,San Juan,AR,2021-05-26 22:59:43,-31.5375,-68.5364,295.78,28,0,2.72
220,Cockburn Town,TC,2021-05-26 22:59:45,21.4612,-71.1419,299.38,78,4,7.45
221,Natal,BR,2021-05-26 22:58:38,-5.795,-35.2094,299.27,73,20,5.84
222,Stromness,GB,2021-05-26 22:59:49,58.965,-3.296,282.13,83,100,4.44
223,Nizhnyaya Omka,RU,2021-05-26 22:59:51,55.4338,74.9426,284.99,76,71,6.34
224,Marawi,PH,2021-05-26 22:59:52,7.9986,124.2928,292.95,92,84,0.75
225,Henties Bay,NA,2021-05-26 22:59:54,-22.116,14.2845,291.8,67,0,3.44
226,Vila Franca Do Campo,PT,2021-05-26 22:59:56,37.7167,-25.4333,288.38,82,92,4.36
227,Necochea,AR,2021-05-26 22:59:57,-38.5473,-58.7368,286.63,67,98,5.41
228,Taltal,CL,2021-05-26 22:59:58,-25.4,-70.4833,291.92,70,100,1.78
229,Bosaso,SO,2021-05-26 22:59:59,11.2842,49.1816,303.3,64,50,1.43
230,Bukachacha,RU,2021-05-26 23:00:01,52.9833,116.9167,281.93,69,100,0.93
231,Nome,US,2021-05-26 22:58:45,64.5011,-165.4064,290.99,30,0,0.94
232,Sohbatpur,PK,2021-05-26 23:00:10,28.5202,68.5434,305.83,10,0,0.74
233,Manono,CD,2021-05-26 23:00:11,-7.3,27.4167,292.07,58,0,1.19
